index,game,score,leaderbord,gamers,comp_perc,rating,url,min_comp_time,max_comp_time,Links,genres,developer,publisher,release_date,size
167,Batman: Arkham Knight,4835,2.0,174910,1.3,4.2,https://www.truetrophies.com/game/Batman-Arkham-Knight/trophies,40,50,https://www.truetrophies.com/game/Batman-Arkham-Knight,Open-World|Stealth|Beat-em-up,Rocksteady-Studios,Warner-Bros-Interactive-Entertainment,2015/June/23,49.46GB
168,Batman: Arkham VR,594,1.89,19074,16.4,3.9,https://www.truetrophies.com/game/Batman-Arkham-VR/trophies,3,4,https://www.truetrophies.com/game/Batman-Arkham-VR,Action-Adventure,Rocksteady-Studios,Warner-Bros-Interactive-Entertainment,2016/October/11,8.58GB
169,Batman: Return to Arkham - Arkham Asylum,2382,1.76,42126,17.3,4.5,https://www.truetrophies.com/game/Batman-Arkham-Asylum-PS4/trophies,15,20,https://www.truetrophies.com/game/Batman-Arkham-Asylum-PS4,Stealth|Open-World|Metroidvania|Beat-em-up,Virtuos,Warner-Bros-Interactive-Entertainment,2016/October/18,47.30GB
170,Batman: Return to Arkham - Arkham City,3888,2.23,30980,3.2,4.5,https://www.truetrophies.com/game/Batman-Arkham-City-PS4/trophies,80,100,https://www.truetrophies.com/game/Batman-Arkham-City-PS4,Open-World|Stealth|Beat-em-up,Virtuos,Warner-Bros-Interactive-Entertainment,2016/October/18,18.80GB
171,Batman: The Enemy Within - The Telltale Series,1352,1.06,29593,81.4,4.0,https://www.truetrophies.com/game/Batman-The-Enemy-Within-The-Telltale-Series/trophies,8,10,https://www.truetrophies.com/game/Batman-The-Enemy-Within-The-Telltale-Series,Adventure|Point-and-Click,Telltale-Games,Telltale-Games,2017/August/08,3.90GB
172,Battle Chasers: Nightwar,2999,2.27,8141,10.5,3.9,https://www.truetrophies.com/game/Battle-Chasers-Nightwar/trophies,80,100,https://www.truetrophies.com/game/Battle-Chasers-Nightwar,Role-Playing|Turn-Based,Airship-Syndicate,THQ-Nordic,2017/October/03,7.70GB
173,Battle Trivia Knockout,349,1.16,846,53.9,2.4,https://www.truetrophies.com/game/Battle-Trivia-Knockout/trophies,0,1,https://www.truetrophies.com/game/Battle-Trivia-Knockout,Educational-and-Trivia|Party,Happy-Dance-Games,Happy-Dance-Games,2015/September/22,1.00GB
174,Battle Trivia Knockout (EU),344,1.15,503,55.1,2.3,https://www.truetrophies.com/game/Battle-Trivia-Knockout-European/trophies,0,1,https://www.truetrophies.com/game/Battle-Trivia-Knockout-European,Educational-and-Trivia|Party,Happy-Dance-Games,Happy-Dance-Games,2015/October/30,1.10GB
175,Battleborn,5346,3.56,14925,1.6,3.2,https://www.truetrophies.com/game/Battleborn/trophies,120,150,https://www.truetrophies.com/game/Battleborn,First-Person-Shooter|MOBA,Gearbox-Software,2K-Games,2016/May/03,15.80GB
176,Battlefield 1,4515,2.33,145216,2.0,4.2,https://www.truetrophies.com/game/Battlefield-1/trophies,35,40,https://www.truetrophies.com/game/Battlefield-1,First-Person-Shooter,DICE,Electronic-Arts,2016/October/21,45.50GB
177,Battlefield 4,3972,2.14,133500,1.7,3.9,https://www.truetrophies.com/game/Battlefield-4/trophies,50,60,https://www.truetrophies.com/game/Battlefield-4,First-Person-Shooter,DICE,Electronic-Arts,2013/November/15,31.60GB
178,Battlefield Hardline,5099,2.59,75536,0.4,3.5,https://www.truetrophies.com/game/Battlefield-Hardline/trophies,40,50,https://www.truetrophies.com/game/Battlefield-Hardline,First-Person-Shooter|Stealth,Visceral-Games,Electronic-Arts,2015/March/17,42.70GB
179,Battlefield V,2985,2.29,59841,8.5,3.6,https://www.truetrophies.com/game/Battlefield-V/trophies,35,40,https://www.truetrophies.com/game/Battlefield-V,Battle-Royale|First-Person-Shooter,DICE,Electronic-Arts,2018/November/20,34.10GB
